@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Comments numeric
@attribute Price numeric
@attribute StockQuantity numeric
@attribute SalesQuantity numeric

@data
2012,3,18,6,7.777777,5.99,11384,259
2012,3,19,0,10.861111,5.99,11381,185
2012,3,20,1,12.777777,5.99,11401,134
2012,3,21,2,13.277777,5.99,11490,152
2012,3,22,3,12.222222,5.99,11537,128
2012,3,23,4,11.416666,5.99,11617,137
2012,3,24,5,8.277777,5.99,11480,173
2012,3,25,6,7.222222,5.99,11580,202
2012,3,26,0,11.111111,5.99,11606,157
2012,3,27,1,12.222222,5.99,11681,161
2012,3,28,2,13.277777,5.99,11743,152
2012,3,29,3,13.888888,5.99,11823,161
2012,3,30,4,15.305555,5.99,11877,144
2012,3,31,5,13.583333,5.99,11733,204
2012,4,1,6,10.944444,5.99,11834,234
2012,4,2,0,12.222222,5.99,11832,161
2012,4,3,1,12.888888,5.99,11882,140
2012,4,4,2,9.388888,5.99,11983,170
2012,4,5,3,8.888888,5.99,12022,138
2012,4,6,4,10.611111,5.99,11884,163
2012,4,7,5,12.777777,5.99,11721,172
2012,4,9,0,12.222222,5.99,12060,181
2012,4,10,1,12.222222,5.99,12128,178
2012,4,11,2,12.222222,5.99,12162,141
2012,4,12,3,12.222222,5.99,12260,168
2012,4,13,4,10,5.99,12322,159
2012,4,14,5,11.416666,5.99,12163,186
2012,4,15,6,12.222222,5.99,12259,211
2012,4,16,0,13.888888,5.99,12267,148
2012,4,17,1,12.222222,5.99,12340,150
2012,4,18,2,14.138888,5.99,12388,127
2012,4,19,3,15.611111,5.99,12472,140
2012,4,20,4,20.25,5.99,12541,138
2012,4,21,5,22.611111,5.99,12403,134
2012,4,22,6,19.388888,5.99,12528,188
2012,4,23,0,15,5.99,12569,158
2012,4,24,1,17.222222,5.99,12614,132
2012,4,25,2,16.722222,5.99,12693,140
2012,4,26,3,14.388888,5.99,12768,144
2012,4,27,4,13.027777,5.99,12812,117
2012,4,28,5,15.305555,5.99,12695,135
2012,4,29,6,17.25,5.99,12799,168
2012,4,30,0,16.111111,5.99,12855,153
2012,5,1,1,12.888888,5.99,12914,141
2012,5,2,2,12.222222,5.99,12985,141
2012,5,3,3,15,5.99,13069,154
2012,5,4,4,13.888888,5.99,13123,137
2012,5,5,5,16.111111,5.99,12986,161
2012,5,6,6,19.444444,5.99,13087,191
2012,5,7,0,18.277777,5.99,13129,162
2012,5,8,1,18.888888,5.99,13181,143
2012,5,9,2,16.722222,5.99,13225,116
2012,5,10,3,18.5,5.99,13374,194
2012,5,11,4,19.694444,5.99,13397,146
2012,5,12,5,16.416666,5.99,13251,165
2012,5,13,6,14.388888,5.99,13360,203
2012,5,14,0,15.611111,5.99,13412,184
2012,5,15,1,14.388888,5.99,13438,139
2012,5,16,2,13.583333,5.99,13521,151
2012,5,17,3,13.888888,5.99,13567,126
2012,5,18,4,14.138888,5.99,13642,130
2012,5,19,5,15.861111,5.99,13512,111
2012,5,20,6,16.722222,5.99,13692,220
2012,5,21,0,16.722222,5.99,13703,160
2012,5,22,1,16,5.99,13757,143
2012,5,23,2,14.194444,5.99,13817,132
2012,5,24,3,14.138888,5.99,13895,139
2012,5,25,4,13.277777,5.99,13969,142
2012,5,26,5,13.277777,5.99,13827,145
2012,5,27,6,12.777777,5.99,13682,175
2012,5,29,1,13.027777,5.99,13755,177
2012,5,30,2,15,5.99,13795,146
2012,5,31,3,19.138888,5.99,13842,122
2012,6,1,4,17.75,5.99,13921,130
2012,6,2,5,17.111111,5.99,13791,165
2012,6,3,6,16.416666,5.99,13905,208
2012,6,4,0,15.611111,5.99,13915,147
2012,6,5,1,13.888888,5.99,13995,156
2012,6,6,2,14.388888,5.99,14091,181
2012,6,7,3,16.416666,5.99,14089,108
2012,6,8,4,15.611111,5.99,14195,143
2012,6,9,5,18.027777,5.99,14052,140
2012,6,10,6,23.583333,5.99,14172,189
2012,6,11,0,21.694444,5.99,14223,169
2012,6,12,1,17.777777,5.99,14286,161
2012,6,13,2,15,5.99,14317,121
2012,6,14,3,15.611111,5.99,14408,141
2012,6,15,4,18.277777,5.99,14445,107
2012,6,16,5,27.25,5.99,14338,145
2012,6,17,6,21.722222,5.99,14403,139
2012,6,18,0,16.111111,5.99,14486,151
2012,6,19,1,18.888888,5.99,14565,159
2012,6,20,2,18.888888,5.99,14625,148
2012,6,21,3,14.388888,5.99,14694,146
2012,6,22,4,16.722222,5.99,14745,126
2012,6,23,5,15.611111,5.99,14619,136
2012,6,24,6,15.555555,5.99,14739,185
2012,6,25,0,16.722222,5.99,14789,164
2012,6,26,1,16.416666,5.99,14848,152
2012,6,27,2,17.222222,5.99,14898,131
2012,6,28,3,18.027777,5.99,14971,133
2012,6,29,4,16.722222,5.99,15062,153
2012,6,30,5,19,5.99,14909,121
2012,7,1,6,17.777777,5.99,15039,180
2012,7,2,0,17.222222,5.99,15083,153
2012,7,3,1,17.25,5.99,15151,150
2012,7,5,3,16.111111,5.99,15255,183
2012,7,6,4,17.222222,5.99,15323,180
2012,7,7,5,18.833333,5.99,15143,134
2012,7,8,6,15,5.99,15266,186
2012,7,9,0,16.055555,5.99,15299,148
2012,7,10,1,17.777777,5.99,15367,145
2012,7,11,2,20.555555,5.99,15414,121
2012,7,12,3,18.277777,5.99,15517,153
2012,7,13,4,16.166666,5.99,15581,146
2012,7,14,5,15.805555,5.99,15435,149
2012,7,15,6,16.361111,5.99,15528,171
2012,7,16,0,16.111111,5.99,15609,181
2012,7,17,1,16.722222,5.99,15628,129
2012,7,18,2,16.722222,5.99,15690,120
2012,7,19,3,16.055555,5.99,15744,103
2012,7,20,4,18.888888,5.99,15833,121
2012,7,21,5,20.861111,5.99,15712,145
2012,7,22,6,20.25,5.99,15827,189
2012,7,23,0,18.888888,5.99,15890,181
2012,7,24,1,17.75,5.99,15919,139
2012,7,25,2,17.25,5.99,15974,123
2012,7,26,3,15.805555,5.99,16039,117
2012,7,27,4,16.111111,5.99,16088,95
2012,7,28,5,15.611111,5.99,15993,132
2012,7,29,6,15.611111,5.99,16106,174
2012,7,30,0,19.388888,5.99,16294,291
2012,7,31,1,19.388888,5.99,16374,300
2012,8,1,2,18.138888,5.99,16388,243
2012,8,2,3,17.5,5.99,16522,306
2012,8,3,4,16.666666,5.99,16427,140
2012,8,4,5,16.722222,5.99,16287,150
2012,8,5,6,17,5.99,16420,212
2012,8,6,0,17.222222,5.99,16421,142
2012,8,7,1,17.777777,5.99,16495,145
2012,8,8,2,19.138888,5.99,16570,149
2012,8,9,3,19.694444,5.99,16609,117
2012,8,10,4,18.888888,5.99,16695,132
2012,8,11,5,17,5.99,16563,124
2012,8,12,6,18.277777,5.99,16644,134
2012,8,13,0,20.611111,5.99,16727,146
2012,8,14,1,19.138888,5.99,16773,121
2012,8,15,2,17.222222,5.99,16849,126
2012,8,16,3,16.972222,5.99,16955,161
2012,8,17,4,17.222222,5.99,17005,140
2012,8,18,5,17.75,5.99,16865,175
2012,8,19,6,16.166666,5.99,16975,214
2012,8,20,0,15.805555,5.99,16999,167
2012,8,21,1,16.111111,5.99,17052,149
2012,8,22,2,15.305555,5.99,17116,142
2012,8,23,3,16.111111,5.99,17149,104
2012,8,24,4,16.722222,5.99,17232,116
2012,8,25,5,15.305555,5.99,17116,154
2012,8,26,6,16.722222,5.99,17244,211
2012,8,27,0,16.888888,5.99,17261,157
2012,8,28,1,19.388888,5.99,17315,140
2012,8,29,2,20.861111,5.99,17375,129
