@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Price numeric

@data
2014,10,16,3,2.59
2014,10,17,4,2.5794
2014,10,20,0,2.56815
2014,10,21,1,2.59875
2014,10,22,2,2.61315
2014,10,23,3,2.6325
2014,10,24,4,2.5925
2014,10,27,0,2.6175
2014,10,28,1,2.6575
2014,10,29,2,2.69315
2014,10,30,3,2.6794
2014,10,31,4,2.65625
2014,11,3,0,2.69565
2014,11,4,1,2.66065
2014,11,5,2,2.62375
2014,11,6,3,2.6019
2014,11,7,4,2.5725
2014,11,10,0,2.59565
2014,11,11,1,2.62
2014,11,12,2,2.70815
2014,11,13,3,2.76815
2014,11,14,4,2.80315
2014,11,17,0,2.76125
2014,11,18,1,2.7469
2014,11,19,2,2.69125
2014,11,20,3,2.73565
2014,11,21,4,2.73315
2014,11,24,0,2.74565
2014,11,25,1,2.79315
2014,11,26,2,2.81125
2014,11,27,3,2.81125
2014,11,28,4,2.8919
2014,11,30,6,2.8919
2014,12,1,0,3.03565
2014,12,2,1,3.0169
2014,12,3,2,2.94815
2014,12,4,3,2.9444
2014,12,5,4,2.9669
2014,12,7,6,2.9669
2014,12,8,0,2.9819
2014,12,9,1,2.93
2014,12,10,2,2.91065
2014,12,11,3,2.98065
2014,12,12,4,3.02875
2014,12,14,6,3.02875
2014,12,15,0,3.09
2014,12,16,1,3.10565
2014,12,17,2,3.2444
2014,12,18,3,3.2669
2014,12,19,4,3.1644
2014,12,21,6,3.1644
2014,12,22,0,3.1244
2014,12,23,1,3.1819
2014,12,24,2,3.0519
2014,12,26,4,3.04625
2014,12,28,6,3.04625
2014,12,29,0,3.0719
2014,12,30,1,3.01625
2014,12,31,2,2.9494
2015,1,2,4,2.90565
2015,1,5,0,2.94315
2015,1,6,1,2.96065
2015,1,7,2,2.89565
2015,1,8,3,2.8369
2015,1,9,4,2.8119
2015,1,12,0,2.77625
2015,1,13,1,2.73875
2015,1,14,2,2.69065
2015,1,15,3,2.6694
2015,1,16,4,2.6569
2015,1,20,1,2.6769
2015,1,21,2,2.6794
2015,1,22,3,2.66875
2015,1,23,4,2.64625
2015,1,26,0,2.59875
2015,1,27,1,2.5944
2015,1,28,2,2.5269
2015,1,29,3,2.53875
2015,1,30,4,2.51625
2015,2,2,0,2.4644
2015,2,3,1,2.5644
2015,2,4,2,2.56065
2015,2,5,3,2.6319
2015,2,6,4,2.6369
2015,2,9,0,2.64565
2015,2,10,1,2.6044
2015,2,11,2,2.62565
2015,2,12,3,2.6019
2015,2,13,4,2.66625
2015,2,17,1,2.675
2015,2,18,2,2.64065
2015,2,19,3,2.63815
2015,2,20,4,2.5494
2015,2,23,0,2.51815
2015,2,24,1,2.5169
2015,2,25,2,2.48565
2015,2,26,3,2.5
2015,2,27,4,2.56
2015,3,2,0,2.4994
2015,3,3,1,2.5219
2015,3,4,2,2.4794
2015,3,5,3,2.40315
2015,3,6,4,2.41125
2015,3,9,0,2.45065
2015,3,10,1,2.4694
2015,3,11,2,2.49315
2015,3,12,3,2.53625
2015,3,13,4,2.50625
2015,3,16,0,2.57565
2015,3,17,1,2.51815
2015,3,18,2,2.55565
2015,3,19,3,2.5569
2015,3,20,4,2.65065
2015,3,23,0,2.67315
2015,3,24,1,2.6169
2015,3,25,2,2.5944
2015,3,26,3,2.49315
2015,3,27,4,2.53875
2015,3,30,0,2.6519
2015,3,31,1,2.5644
2015,4,1,2,2.6444
2015,4,2,3,2.6694
2015,4,6,0,2.6419
2015,4,7,1,2.6344
2015,4,8,2,2.6275
2015,4,9,3,2.5944
2015,4,10,4,2.63375
2015,4,13,0,2.5119
2015,4,14,1,2.4875
2015,4,15,2,2.45315
2015,4,16,3,2.47315
2015,4,17,4,2.46565
2015,4,20,0,2.49315
2015,4,21,1,2.5025
2015,4,22,2,2.49565
2015,4,23,3,2.49065
2015,4,24,4,2.4319
2015,4,27,0,2.3694
2015,4,28,1,2.3819
2015,4,29,2,2.4194
2015,4,30,3,2.3769
2015,5,1,4,2.3694
2015,5,4,0,2.36375
2015,5,5,1,2.33375
2015,5,6,2,2.39625
2015,5,7,3,2.36315
2015,5,8,4,2.4119
2015,5,11,0,2.40815
2015,5,12,1,2.4069
2015,5,13,2,2.40815
2015,5,14,3,2.57315
2015,5,15,4,2.55375
2015,5,18,0,2.6094
2015,5,19,1,2.55315
2015,5,20,2,2.5625
2015,5,21,3,2.6025
2015,5,22,4,2.575
2015,5,26,1,2.46315
2015,5,27,2,2.44125
2015,5,28,3,2.4369
2015,5,29,4,2.3894
2015,6,1,0,2.47375
2015,6,2,1,2.56315
2015,6,3,2,2.54565
2015,6,4,3,2.61565
2015,6,5,4,2.585
2015,6,8,0,2.63815
2015,6,9,1,2.66375
2015,6,10,2,2.56315
2015,6,11,3,2.52565
2015,6,12,4,2.52125
2015,6,15,0,2.4444
2015,6,16,1,2.44315
2015,6,17,2,2.45815
2015,6,18,3,2.4394
2015,6,19,4,2.4444
2015,6,22,0,2.50875
2015,6,23,1,2.61315
2015,6,24,2,2.59065
2015,6,25,3,2.6619
2015,6,26,4,2.80375
2015,6,29,0,2.92065
2015,6,30,1,3.08315
2015,7,1,2,2.93625
2015,7,2,3,2.94125
2015,7,3,4,2.94125
2015,7,6,0,2.9744
2015,7,7,1,2.9219
2015,7,8,2,2.89125
2015,7,9,3,2.8869
2015,7,10,4,2.87565
2015,7,13,0,2.8775
2015,7,14,1,2.8544
2015,7,15,2,2.83565
2015,7,16,3,2.81315
2015,7,17,4,2.77125
2015,7,20,0,2.67375
2015,7,21,1,2.6194
2015,7,22,2,2.5819
2015,7,23,3,2.6125
2015,7,24,4,2.5619
2015,7,27,0,2.51065
2015,7,28,1,2.56065
2015,7,29,2,2.48
2015,7,30,3,2.4869
2015,7,31,4,2.49065
2015,8,3,0,2.5044
2015,8,4,1,2.46875
2015,8,5,2,2.51315
2015,8,6,3,2.53565
2015,8,7,4,2.55315
2015,8,10,0,2.61815
2015,8,11,1,2.53565
2015,8,12,2,2.46875
2015,8,13,3,2.5169
2015,8,14,4,2.5294
2015,8,17,0,2.50315
2015,8,18,1,2.4775
2015,8,19,2,2.48125
2015,8,20,3,2.52065
2015,8,21,4,2.4969
2015,8,24,0,2.52125
2015,8,25,1,2.4825
2015,8,26,2,2.455
2015,8,27,3,2.42375
2015,8,28,4,2.38815
2015,8,31,0,2.4269
2015,9,1,1,2.42815
2015,9,2,2,2.39565
2015,9,3,3,2.3244
2015,9,4,4,2.33565
2015,9,8,1,2.37565
2015,9,9,2,2.36315
